"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Male",30,1,28,0,"1-2 Year","Yes",26891,155,270,1
"Male",28,1,28,1,"< 1 Year","No",45434,152,146,0
"Male",32,1,47,0,"1-2 Year","No",2630,157,195,1
"Male",54,1,28,0,"1-2 Year","No",41420,26,121,0
"Male",45,1,36,0,"1-2 Year","Yes",32764,124,185,1
"Male",52,1,39,0,"1-2 Year","Yes",61716,154,71,1
"Male",72,1,8,0,"1-2 Year","Yes",2630,26,244,0
"Male",24,1,32,0,"< 1 Year","Yes",33793,152,36,0
"Female",20,1,13,0,"< 1 Year","Yes",24059,160,152,0
"Male",65,1,46,0,"1-2 Year","Yes",29727,3,204,0
"Male",61,1,28,0,"> 2 Years","Yes",41647,26,196,0
"Female",25,1,21,1,"< 1 Year","No",19270,152,257,0
"Male",54,1,29,0,"1-2 Year","Yes",2630,26,258,1
"Male",25,1,10,1,"< 1 Year","No",27318,152,106,0
"Male",24,1,28,0,"< 1 Year","Yes",20461,152,41,1
"Female",54,1,39,1,"1-2 Year","No",53231,157,144,0
"Female",54,1,35,0,"1-2 Year","Yes",37308,154,241,1
"Female",24,1,41,1,"< 1 Year","No",50738,152,129,0
"Female",72,1,28,0,"1-2 Year","Yes",37039,124,174,0
"Female",22,1,32,1,"< 1 Year","No",26353,152,270,0
"Male",68,1,17,0,"1-2 Year","No",32427,124,215,0
"Female",24,1,29,1,"< 1 Year","No",46349,152,248,0
"Female",46,1,28,0,"1-2 Year","Yes",41647,26,226,1
"Male",31,1,3,0,"1-2 Year","Yes",2630,156,189,1
"Male",38,1,28,0,"1-2 Year","Yes",34588,124,214,0
"Female",25,1,32,0,"< 1 Year","Yes",32668,152,218,0
"Female",40,1,46,0,"1-2 Year","Yes",2630,157,178,0
"Male",42,1,28,0,"1-2 Year","Yes",26642,124,209,0
"Female",36,1,14,0,"1-2 Year","Yes",27732,124,105,0
"Female",20,1,39,0,"< 1 Year","Yes",32300,160,195,0
"Male",38,1,8,0,"1-2 Year","Yes",2630,26,78,1
"Female",38,1,3,0,"1-2 Year","Yes",22176,156,244,1
"Male",33,1,3,0,"< 1 Year","Yes",33655,124,264,1
"Male",43,1,24,0,"1-2 Year","Yes",2630,124,52,1
"Female",48,1,28,0,"1-2 Year","Yes",41319,26,145,1
"Female",39,1,41,0,"1-2 Year","Yes",35180,26,189,1
"Male",26,1,8,1,"< 1 Year","No",35030,152,299,0
"Female",26,1,10,1,"< 1 Year","No",24424,152,117,0
"Male",56,1,38,0,"1-2 Year","Yes",2630,124,136,0
"Male",38,1,28,0,"1-2 Year","No",40965,124,164,1
"Male",41,1,41,0,"1-2 Year","Yes",22347,163,71,1
"Male",39,1,28,0,"1-2 Year","Yes",32566,124,122,0
"Male",43,1,29,0,"1-2 Year","Yes",26421,26,66,0
"Female",25,1,11,1,"< 1 Year","No",32284,152,134,0
"Female",22,1,25,1,"< 1 Year","No",23613,160,281,0
"Male",26,1,41,1,"< 1 Year","No",36975,152,276,0
"Male",42,1,48,0,"1-2 Year","Yes",2630,15,160,0
"Male",49,1,28,0,"1-2 Year","Yes",35962,124,99,0
"Male",25,1,28,0,"1-2 Year","Yes",49083,156,104,1
"Female",56,1,41,0,"1-2 Year","Yes",39355,157,113,1
"Male",29,1,29,1,"< 1 Year","No",26175,152,55,0
"Female",51,1,47,0,"> 2 Years","Yes",32289,26,117,1
"Female",31,1,3,1,"< 1 Year","No",20512,26,106,0
"Male",24,1,14,1,"< 1 Year","No",2630,152,256,0
"Male",48,1,31,1,"1-2 Year","No",2630,124,18,0
"Male",54,1,48,1,"1-2 Year","No",2630,124,206,0
"Male",36,1,28,1,"1-2 Year","No",32333,124,134,0
"Male",47,1,8,0,"> 2 Years","Yes",63606,124,167,1
"Female",31,1,29,1,"< 1 Year","No",27485,152,77,0
"Female",22,1,30,0,"< 1 Year","Yes",34817,152,138,1
"Male",54,1,28,0,"1-2 Year","Yes",48465,26,293,1
"Female",30,1,28,0,"1-2 Year","No",46237,124,291,0
"Male",20,1,36,0,"< 1 Year","Yes",24538,160,94,0
"Female",62,1,8,0,"> 2 Years","Yes",2630,157,14,1
"Female",57,1,28,0,"1-2 Year","Yes",33774,122,238,1
"Male",44,1,30,1,"1-2 Year","No",2630,124,134,0
"Male",39,1,6,1,"1-2 Year","Yes",26097,124,156,0
"Female",37,1,28,0,"> 2 Years","Yes",44480,157,141,0
"Male",36,1,45,0,"1-2 Year","Yes",22519,124,68,0
"Male",32,1,21,0,"1-2 Year","Yes",32977,156,287,0
