Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,30,1,28,0,1,1,26891,3,270,1
0,28,1,28,1,0,0,45434,0,146,0
0,32,1,47,0,1,0,2630,3,195,1
0,54,1,28,0,1,0,41420,1,121,0
0,45,1,36,0,1,1,32764,2,185,1
0,52,1,39,0,1,1,61716,3,71,1
0,72,1,8,0,1,1,2630,1,244,0
0,24,1,32,0,0,1,33793,0,36,0
1,20,1,13,0,0,1,24059,3,152,0
0,65,1,46,0,1,1,29727,3,204,0
0,61,1,28,0,2,1,41647,1,196,0
1,25,1,21,1,0,0,19270,0,257,0
0,54,1,29,0,1,1,2630,1,258,1
0,25,1,10,1,0,0,27318,0,106,0
0,24,1,28,0,0,1,20461,0,41,1
1,54,1,39,1,1,0,53231,3,144,0
1,54,1,35,0,1,1,37308,3,241,1
1,24,1,41,1,0,0,50738,0,129,0
1,72,1,28,0,1,1,37039,2,174,0
1,22,1,32,1,0,0,26353,0,270,0
0,68,1,17,0,1,0,32427,2,215,0
1,24,1,29,1,0,0,46349,0,248,0
1,46,1,28,0,1,1,41647,1,226,1
0,31,1,3,0,1,1,2630,3,189,1
0,38,1,28,0,1,1,34588,2,214,0
1,25,1,32,0,0,1,32668,0,218,0
1,40,1,46,0,1,1,2630,3,178,0
0,42,1,28,0,1,1,26642,2,209,0
1,36,1,14,0,1,1,27732,2,105,0
1,20,1,39,0,0,1,32300,3,195,0
0,38,1,8,0,1,1,2630,1,78,1
1,38,1,3,0,1,1,22176,3,244,1
0,33,1,3,0,0,1,33655,2,264,1
0,43,1,24,0,1,1,2630,2,52,1
1,48,1,28,0,1,1,41319,1,145,1
1,39,1,41,0,1,1,35180,1,189,1
0,26,1,8,1,0,0,35030,0,299,0
1,26,1,10,1,0,0,24424,0,117,0
0,56,1,38,0,1,1,2630,2,136,0
0,38,1,28,0,1,0,40965,2,164,1
0,41,1,41,0,1,1,22347,3,71,1
0,39,1,28,0,1,1,32566,2,122,0
0,43,1,29,0,1,1,26421,1,66,0
1,25,1,11,1,0,0,32284,0,134,0
1,22,1,25,1,0,0,23613,3,281,0
0,26,1,41,1,0,0,36975,0,276,0
0,42,1,48,0,1,1,2630,3,160,0
0,49,1,28,0,1,1,35962,2,99,0
0,25,1,28,0,1,1,49083,3,104,1
1,56,1,41,0,1,1,39355,3,113,1
0,29,1,29,1,0,0,26175,0,55,0
1,51,1,47,0,2,1,32289,1,117,1
1,31,1,3,1,0,0,20512,1,106,0
0,24,1,14,1,0,0,2630,0,256,0
0,48,1,31,1,1,0,2630,2,18,0
0,54,1,48,1,1,0,2630,2,206,0
0,36,1,28,1,1,0,32333,2,134,0
0,47,1,8,0,2,1,63606,2,167,1
1,31,1,29,1,0,0,27485,0,77,0
1,22,1,30,0,0,1,34817,0,138,1
0,54,1,28,0,1,1,48465,1,293,1
1,30,1,28,0,1,0,46237,2,291,0
0,20,1,36,0,0,1,24538,3,94,0
1,62,1,8,0,2,1,2630,3,14,1
1,57,1,28,0,1,1,33774,3,238,1
0,44,1,30,1,1,0,2630,2,134,0
0,39,1,6,1,1,1,26097,2,156,0
1,37,1,28,0,2,1,44480,3,141,0
0,36,1,45,0,1,1,22519,2,68,0
0,32,1,21,0,1,1,32977,3,287,0
1,32,1,21,1,0,0,29839,0,267,0
0,40,1,16,0,1,1,14488,0,188,0
1,26,1,15,1,0,0,31986,0,125,0
1,74,1,7,0,1,1,37126,2,32,1
1,48,1,28,1,1,0,42361,2,216,0
1,24,1,30,1,0,0,38959,0,40,0
1,48,1,28,0,1,1,45847,1,43,0
0,53,1,40,0,1,1,29181,1,203,0
1,36,1,28,0,1,1,49945,2,196,1
0,26,1,29,0,0,1,58240,0,84,0
0,70,1,47,0,1,1,26869,2,145,0
0,33,1,46,0,0,1,27416,3,21,1
0,46,1,28,1,1,0,44129,1,137,0
0,27,1,36,1,0,0,32279,0,31,0
0,63,1,46,0,1,1,45529,1,23,0
0,78,1,48,1,1,0,2630,1,237,0
1,20,1,47,0,0,0,28653,3,232,0
1,27,1,8,1,0,0,42083,0,231,0
1,22,1,11,1,0,0,28736,0,47,0
1,56,1,28,1,1,0,53421,2,183,0
0,77,1,15,0,0,1,47590,0,28,0
0,30,1,30,1,0,0,32606,0,106,0
0,24,1,28,0,0,0,45916,0,96,1
1,25,1,28,1,0,0,25243,0,58,0
0,43,1,28,0,2,1,41321,1,37,0
1,21,1,36,0,0,1,32452,3,71,0
0,23,1,2,0,0,0,2630,3,184,0
0,32,1,28,0,1,1,30501,2,206,0
1,22,1,10,1,0,0,24474,0,265,0
0,27,1,20,0,0,1,2630,2,101,0
0,21,1,37,0,0,1,35723,3,125,0
0,28,1,10,1,0,0,19337,0,107,0
0,47,1,28,0,1,1,37685,3,107,0
1,54,1,28,0,1,1,2630,3,65,0
1,51,1,28,0,1,1,40284,2,238,0
1,30,1,28,0,0,1,54571,1,164,0
0,42,1,8,0,1,1,50236,2,116,0
0,39,1,15,0,1,1,2630,3,163,0
0,23,1,41,1,0,0,47120,0,81,0
1,23,1,29,1,0,0,27091,0,190,0
1,79,1,28,0,2,1,50354,1,233,0
0,24,1,37,1,0,0,41122,0,11,0
1,23,1,8,0,0,1,31489,3,206,0
0,45,1,28,0,2,1,37697,2,206,0
0,46,1,28,1,1,0,29578,2,14,0
1,40,1,28,0,1,1,36041,2,235,1
1,53,1,28,1,1,0,40491,2,210,0
1,68,1,46,0,2,1,45378,3,183,1
1,44,1,28,0,1,1,44029,1,182,0
0,46,1,11,0,1,1,31900,3,90,1
0,60,1,43,0,1,1,28186,1,103,0
1,32,1,14,0,1,1,2630,3,199,0
1,60,1,28,1,1,0,38105,1,86,0
1,46,1,9,0,1,1,2630,3,199,0
1,55,1,28,0,1,1,2630,1,67,0
1,34,1,28,0,1,1,32875,0,53,1
0,58,1,28,0,2,1,42899,2,228,0
1,41,1,29,0,1,1,24541,2,125,1
1,40,1,6,1,1,0,31154,3,182,0
0,21,1,46,1,0,0,24725,3,198,0
0,37,1,36,1,1,0,39793,2,98,0
1,22,1,3,1,0,0,42922,0,217,0
0,36,1,16,0,1,1,31632,0,255,0
0,22,1,36,1,0,0,27886,0,87,0
1,40,1,41,0,1,1,29145,1,117,1
1,22,1,28,1,0,0,42231,0,93,0
0,38,1,28,0,1,1,66043,1,284,1
0,45,1,3,0,1,1,29029,2,233,1
0,45,1,29,0,1,1,35548,1,277,1
0,23,1,8,1,0,0,33627,0,154,0
0,29,1,46,1,0,0,28500,0,197,0
1,26,1,47,0,0,1,2630,3,31,0
1,38,1,29,0,1,1,38672,1,152,1
1,51,1,46,0,1,1,26241,3,165,1
0,30,1,29,0,1,1,2630,2,172,1
1,27,1,10,1,0,0,28350,0,194,0
0,42,1,28,0,1,1,37649,3,47,1
0,58,0,29,0,1,1,31840,2,34,1
0,25,1,36,1,0,0,27565,0,212,0
0,44,1,23,0,1,1,2630,3,2567,0
1,22,1,46,1,0,0,30021,0,97,0
0,50,1,43,0,1,0,28083,3,23,0
0,55,1,29,1,1,1,2630,1,288,0
0,46,1,46,0,1,1,33439,3,72,1
0,58,1,11,0,1,0,23542,2,50,0
1,30,1,36,1,0,0,26444,0,51,0
0,39,1,28,0,1,1,27282,3,46,0
0,48,1,38,1,1,0,2630,1,169,0
1,23,1,45,1,0,1,38698,1,213,0
0,22,1,18,1,1,0,2630,2,277,0
1,44,1,35,0,1,1,37005,1,52,0
1,24,1,41,0,0,1,2630,3,92,0
0,26,1,32,1,0,0,30002,0,68,0
1,54,1,46,0,1,0,26420,2,77,0
1,38,1,28,0,1,1,28613,1,101,1
