Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Damage,Annual_Premium,Vintage,Response,VAge1,VAge2,VAge3,VPolicy0,VPolicy1,VPolicy2,VPolicy3
0,30,1,28,0,1,26891,270,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,28,1,28,1,0,45434,146,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,32,1,47,0,0,2630,195,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,54,1,28,0,0,41420,121,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,45,1,36,0,1,32764,185,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,52,1,39,0,1,61716,71,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,72,1,8,0,1,2630,244,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,24,1,32,0,1,33793,36,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,20,1,13,0,1,24059,152,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,65,1,46,0,1,29727,204,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,61,1,28,0,1,41647,196,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,25,1,21,1,0,19270,257,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,54,1,29,0,1,2630,258,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,25,1,10,1,0,27318,106,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,24,1,28,0,1,20461,41,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,54,1,39,1,0,53231,144,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,54,1,35,0,1,37308,241,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,24,1,41,1,0,50738,129,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,72,1,28,0,1,37039,174,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,22,1,32,1,0,26353,270,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,68,1,17,0,0,32427,215,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,24,1,29,1,0,46349,248,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,46,1,28,0,1,41647,226,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,31,1,3,0,1,2630,189,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,38,1,28,0,1,34588,214,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,25,1,32,0,1,32668,218,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,40,1,46,0,1,2630,178,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,42,1,28,0,1,26642,209,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,36,1,14,0,1,27732,105,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,20,1,39,0,1,32300,195,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,38,1,8,0,1,2630,78,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,38,1,3,0,1,22176,244,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,33,1,3,0,1,33655,264,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,43,1,24,0,1,2630,52,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,48,1,28,0,1,41319,145,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,39,1,41,0,1,35180,189,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,26,1,8,1,0,35030,299,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,26,1,10,1,0,24424,117,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,56,1,38,0,1,2630,136,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,38,1,28,0,0,40965,164,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,41,1,41,0,1,22347,71,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,39,1,28,0,1,32566,122,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,43,1,29,0,1,26421,66,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,25,1,11,1,0,32284,134,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,22,1,25,1,0,23613,281,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,26,1,41,1,0,36975,276,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,42,1,48,0,1,2630,160,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,49,1,28,0,1,35962,99,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
