,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
54699,Female,22,1,3,1,< 1 Year,No,29884,152,112,0
14629,Female,60,1,28,0,1-2 Year,Yes,45282,124,87,0
11857,Female,41,1,29,1,1-2 Year,No,24399,152,52,0
54682,Female,53,1,28,0,> 2 Years,Yes,52813,26,99,1
31733,Male,52,1,36,0,1-2 Year,Yes,27196,154,228,1
12698,Female,25,1,13,0,< 1 Year,Yes,29898,152,66,1
37650,Male,23,1,6,0,< 1 Year,Yes,32015,152,195,1
8135,Male,66,1,28,0,> 2 Years,Yes,36200,30,72,1
60803,Female,22,1,15,1,< 1 Year,No,27568,152,191,0
17027,Male,27,1,28,1,1-2 Year,Yes,56555,155,226,0
50809,Male,47,0,28,1,1-2 Year,No,23479,122,89,0
10432,Female,33,1,41,0,1-2 Year,Yes,37509,124,255,1
13894,Male,56,1,28,0,1-2 Year,Yes,52311,26,254,1
23637,Male,32,1,21,1,< 1 Year,No,22603,152,16,0
38395,Male,22,1,8,1,< 1 Year,No,26415,152,284,0
43798,Male,23,1,41,1,< 1 Year,No,28568,152,219,0
58838,Male,33,1,46,0,< 1 Year,Yes,30527,26,90,1
25231,Male,42,1,28,0,1-2 Year,Yes,36986,26,146,0
8229,Male,27,1,2,0,< 1 Year,Yes,2630,152,900,0
14477,Female,43,1,35,0,1-2 Year,Yes,34680,10,11,1
14253,Male,20,1,8,0,1-2 Year,Yes,2630,157,150,0
59455,Female,34,1,30,1,1-2 Year,No,34767,152,81,0
33766,Male,41,1,8,0,1-2 Year,Yes,27593,124,173,0
45840,Female,46,1,28,0,1-2 Year,Yes,33265,122,56,1
12561,Male,35,1,7,0,1-2 Year,Yes,30186,154,249,1
12113,Female,56,1,6,1,1-2 Year,No,22654,152,263,0
59361,Male,67,1,50,1,1-2 Year,No,37368,8,53,0
22204,Male,36,1,33,0,1-2 Year,Yes,30235,122,160,0
13774,Male,35,1,52,0,1-2 Year,Yes,38523,157,148,1
41761,Female,28,1,27,1,< 1 Year,No,21299,152,170,0
16252,Female,37,1,28,1,1-2 Year,No,32671,152,245,0
25287,Male,38,1,28,0,1-2 Year,Yes,2630,124,159,0
17132,Female,29,1,41,0,1-2 Year,Yes,28270,124,194,1
1281,Male,33,1,7,0,1-2 Year,Yes,33544,155,36,0
30099,Male,26,1,19,0,< 1 Year,Yes,30494,152,107,0
40729,Male,25,1,50,1,< 1 Year,No,35073,152,249,0
22193,Male,24,1,13,1,< 1 Year,No,35689,152,41,0
3111,Male,26,1,39,1,< 1 Year,No,31091,26,119,0
37026,Male,54,1,8,1,1-2 Year,No,30634,26,90,0
47078,Female,44,1,46,0,1-2 Year,No,30255,122,231,0
39113,Male,33,1,30,0,< 1 Year,Yes,33318,26,105,1
6003,Male,25,1,14,1,< 1 Year,No,2630,152,270,0
34233,Female,25,1,6,1,< 1 Year,No,24468,152,273,0
27269,Male,46,1,43,0,1-2 Year,Yes,2630,124,277,0
42401,Female,45,1,48,0,1-2 Year,Yes,2630,124,267,0
3889,Female,48,1,48,0,1-2 Year,Yes,2630,124,163,0
35571,Female,50,1,31,0,1-2 Year,Yes,2630,97,251,1
52175,Male,29,1,30,0,< 1 Year,Yes,31529,157,222,0
53339,Female,26,1,28,0,< 1 Year,Yes,62394,152,147,1
55917,Male,37,1,28,0,1-2 Year,Yes,44590,124,155,1
42940,Female,79,1,28,0,1-2 Year,Yes,39546,26,214,0
1272,Male,55,1,28,0,1-2 Year,Yes,68538,26,173,0
