Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,30,1,28,0,1,1,26891,155,270,1
0,28,1,28,1,0,0,45434,152,146,0
0,32,1,47,0,1,0,2630,157,195,1
0,54,1,28,0,1,0,41420,26,121,0
0,45,1,36,0,1,1,32764,124,185,1
0,52,1,39,0,1,1,61716,154,71,1
0,72,1,8,0,1,1,2630,26,244,0
0,24,1,32,0,0,1,33793,152,36,0
1,20,1,13,0,0,1,24059,160,152,0
0,65,1,46,0,1,1,29727,3,204,0
0,61,1,28,0,2,1,41647,26,196,0
1,25,1,21,1,0,0,19270,152,257,0
0,54,1,29,0,1,1,2630,26,258,1
0,25,1,10,1,0,0,27318,152,106,0
0,24,1,28,0,0,1,20461,152,41,1
1,54,1,39,1,1,0,53231,157,144,0
1,54,1,35,0,1,1,37308,154,241,1
1,24,1,41,1,0,0,50738,152,129,0
1,72,1,28,0,1,1,37039,124,174,0
1,22,1,32,1,0,0,26353,152,270,0
0,68,1,17,0,1,0,32427,124,215,0
1,24,1,29,1,0,0,46349,152,248,0
1,46,1,28,0,1,1,41647,26,226,1
0,31,1,3,0,1,1,2630,156,189,1
0,38,1,28,0,1,1,34588,124,214,0
1,25,1,32,0,0,1,32668,152,218,0
1,40,1,46,0,1,1,2630,157,178,0
0,42,1,28,0,1,1,26642,124,209,0
1,36,1,14,0,1,1,27732,124,105,0
1,20,1,39,0,0,1,32300,160,195,0
0,38,1,8,0,1,1,2630,26,78,1
1,38,1,3,0,1,1,22176,156,244,1
0,33,1,3,0,0,1,33655,124,264,1
0,43,1,24,0,1,1,2630,124,52,1
1,48,1,28,0,1,1,41319,26,145,1
1,39,1,41,0,1,1,35180,26,189,1
0,26,1,8,1,0,0,35030,152,299,0
1,26,1,10,1,0,0,24424,152,117,0
0,56,1,38,0,1,1,2630,124,136,0
0,38,1,28,0,1,0,40965,124,164,1
0,41,1,41,0,1,1,22347,163,71,1
0,39,1,28,0,1,1,32566,124,122,0
0,43,1,29,0,1,1,26421,26,66,0
1,25,1,11,1,0,0,32284,152,134,0
1,22,1,25,1,0,0,23613,160,281,0
0,26,1,41,1,0,0,36975,152,276,0
0,42,1,48,0,1,1,2630,15,160,0
0,49,1,28,0,1,1,35962,124,99,0
0,25,1,28,0,1,1,49083,156,104,1
1,56,1,41,0,1,1,39355,157,113,1
0,29,1,29,1,0,0,26175,152,55,0
1,51,1,47,0,2,1,32289,26,117,1
1,31,1,3,1,0,0,20512,26,106,0
0,24,1,14,1,0,0,2630,152,256,0
0,48,1,31,1,1,0,2630,124,18,0
0,54,1,48,1,1,0,2630,124,206,0
0,36,1,28,1,1,0,32333,124,134,0
0,47,1,8,0,2,1,63606,124,167,1
1,31,1,29,1,0,0,27485,152,77,0
1,22,1,30,0,0,1,34817,152,138,1
0,54,1,28,0,1,1,48465,26,293,1
1,30,1,28,0,1,0,46237,124,291,0
0,20,1,36,0,0,1,24538,160,94,0
1,62,1,8,0,2,1,2630,157,14,1
1,57,1,28,0,1,1,33774,122,238,1
0,44,1,30,1,1,0,2630,124,134,0
0,39,1,6,1,1,1,26097,124,156,0
1,37,1,28,0,2,1,44480,157,141,0
0,36,1,45,0,1,1,22519,124,68,0
0,32,1,21,0,1,1,32977,156,287,0
1,32,1,21,1,0,0,29839,152,267,0
0,40,1,16,0,1,1,14488,152,188,0
1,26,1,15,1,0,0,31986,152,125,0
1,74,1,7,0,1,1,37126,124,32,1
1,48,1,28,1,1,0,42361,124,216,0
1,24,1,30,1,0,0,38959,152,40,0
1,48,1,28,0,1,1,45847,26,43,0
0,53,1,40,0,1,1,29181,26,203,0
1,36,1,28,0,1,1,49945,124,196,1
0,26,1,29,0,0,1,58240,152,84,0
0,70,1,47,0,1,1,26869,124,145,0
0,33,1,46,0,0,1,27416,156,21,1
0,46,1,28,1,1,0,44129,26,137,0
0,27,1,36,1,0,0,32279,152,31,0
0,63,1,46,0,1,1,45529,26,23,0
0,78,1,48,1,1,0,2630,26,237,0
1,20,1,47,0,0,0,28653,160,232,0
1,27,1,8,1,0,0,42083,152,231,0
1,22,1,11,1,0,0,28736,152,47,0
1,56,1,28,1,1,0,53421,124,183,0
0,77,1,15,0,0,1,47590,152,28,0
0,30,1,30,1,0,0,32606,152,106,0
0,24,1,28,0,0,0,45916,152,96,1
1,25,1,28,1,0,0,25243,152,58,0
0,43,1,28,0,2,1,41321,26,37,0
1,21,1,36,0,0,1,32452,160,71,0
0,23,1,2,0,0,0,2630,151,184,0
0,32,1,28,0,1,1,30501,124,206,0
1,22,1,10,1,0,0,24474,152,265,0
0,27,1,20,0,0,1,2630,124,101,0
0,21,1,37,0,0,1,35723,160,125,0
0,28,1,10,1,0,0,19337,152,107,0
0,47,1,28,0,1,1,37685,52,107,0
1,54,1,28,0,1,1,2630,61,65,0
1,51,1,28,0,1,1,40284,124,238,0
1,30,1,28,0,0,1,54571,26,164,0
0,42,1,8,0,1,1,50236,124,116,0
0,39,1,15,0,1,1,2630,156,163,0
0,23,1,41,1,0,0,47120,152,81,0
1,23,1,29,1,0,0,27091,152,190,0
1,79,1,28,0,2,1,50354,26,233,0
0,24,1,37,1,0,0,41122,152,11,0
1,23,1,8,0,0,1,31489,160,206,0
0,45,1,28,0,2,1,37697,124,206,0
0,46,1,28,1,1,0,29578,124,14,0
1,40,1,28,0,1,1,36041,124,235,1
1,53,1,28,1,1,0,40491,124,210,0
1,68,1,46,0,2,1,45378,11,183,1
1,44,1,28,0,1,1,44029,26,182,0
0,46,1,11,0,1,1,31900,157,90,1
0,60,1,43,0,1,1,28186,26,103,0
1,32,1,14,0,1,1,2630,157,199,0
1,60,1,28,1,1,0,38105,26,86,0
1,46,1,9,0,1,1,2630,156,199,0
1,55,1,28,0,1,1,2630,26,67,0
1,34,1,28,0,1,1,32875,152,53,1
0,58,1,28,0,2,1,42899,124,228,0
1,41,1,29,0,1,1,24541,124,125,1
1,40,1,6,1,1,0,31154,122,182,0
0,21,1,46,1,0,0,24725,160,198,0
0,37,1,36,1,1,0,39793,124,98,0
1,22,1,3,1,0,0,42922,152,217,0
0,36,1,16,0,1,1,31632,152,255,0
0,22,1,36,1,0,0,27886,152,87,0
1,40,1,41,0,1,1,29145,26,117,1
1,22,1,28,1,0,0,42231,152,93,0
0,38,1,28,0,1,1,66043,26,284,1
0,45,1,3,0,1,1,29029,124,233,1
0,45,1,29,0,1,1,35548,26,277,1
0,23,1,8,1,0,0,33627,152,154,0
0,29,1,46,1,0,0,28500,152,197,0
1,26,1,47,0,0,1,2630,160,31,0
1,38,1,29,0,1,1,38672,26,152,1
1,51,1,46,0,1,1,26241,154,165,1
0,30,1,29,0,1,1,2630,124,172,1
1,27,1,10,1,0,0,28350,152,194,0
0,42,1,28,0,1,1,37649,56,47,1
0,58,0,29,0,1,1,31840,124,34,1
0,25,1,36,1,0,0,27565,152,212,0
0,44,1,23,0,1,1,2630,156,2567,0
1,22,1,46,1,0,0,30021,152,97,0
0,50,1,43,0,1,0,28083,156,23,0
0,55,1,29,1,1,1,2630,26,288,0
0,46,1,46,0,1,1,33439,11,72,1
0,58,1,11,0,1,0,23542,124,50,0
1,30,1,36,1,0,0,26444,152,51,0
0,39,1,28,0,1,1,27282,122,46,0
0,48,1,38,1,1,0,2630,26,169,0
1,23,1,45,1,0,1,38698,26,213,0
0,22,1,18,1,1,0,2630,124,277,0
1,44,1,35,0,1,1,37005,26,52,0
1,24,1,41,0,0,1,2630,156,92,0
0,26,1,32,1,0,0,30002,152,68,0
1,54,1,46,0,1,0,26420,124,77,0
1,38,1,28,0,1,1,28613,26,101,1
1,25,1,36,0,0,0,33363,152,280,0
1,35,1,46,0,1,1,41419,157,83,1
0,45,1,50,1,1,0,2630,156,36,0
0,34,1,11,0,1,1,39792,124,221,1
1,37,1,15,0,1,1,25807,26,121,1
0,58,1,28,0,1,1,56593,26,140,0
0,25,1,28,1,0,0,64373,152,295,0
0,24,1,17,1,0,0,2630,152,266,0
0,38,1,28,0,1,1,2630,26,177,0
0,56,1,28,0,1,1,34620,26,105,0
0,22,1,6,1,0,0,36108,152,218,0
0,21,1,8,0,0,0,40225,160,107,0
0,50,1,16,0,2,1,25946,124,161,0
0,23,1,4,0,0,1,22387,152,98,1
0,23,1,17,1,0,1,35565,152,231,0
0,66,1,28,1,1,0,61290,26,125,0
1,39,1,21,0,1,1,2630,156,278,0
0,44,1,28,0,1,1,33007,124,251,0
0,37,1,18,1,1,0,2630,122,292,0
1,26,1,25,0,0,1,22205,152,87,0
1,25,1,8,0,0,0,59940,26,78,0
0,52,1,8,0,1,1,33271,124,78,0
1,22,1,5,0,0,1,24799,152,229,0
1,54,1,28,0,1,1,45256,59,99,0
1,34,1,41,1,1,0,25434,152,33,0
0,41,1,28,0,1,1,38637,26,103,0
0,21,1,36,0,0,0,32137,152,179,0
0,25,1,28,0,0,1,51543,152,204,0
0,43,1,28,0,1,1,25833,124,285,0
1,26,1,18,0,0,1,47563,152,265,0
0,70,1,46,0,2,1,40605,26,62,0
0,61,1,28,0,1,1,2630,26,297,1
1,26,1,50,1,0,0,28556,152,38,0
0,25,1,28,1,0,0,31553,152,293,0
1,28,1,8,0,0,0,2630,152,44,0
0,26,1,30,1,0,0,21082,152,256,0
