"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Female",24,1,21,0,"< 1 Year",1,25888,152,55,0
"Female",25,1,18,1,"< 1 Year",0,36436,152,178,0
"Female",59,1,35,1,"1-2 Year",0,2630,156,17,0
"Male",61,1,41,1,"1-2 Year",0,40863,12,190,0
"Female",26,1,33,1,"< 1 Year",0,36166,152,161,0
"Female",24,1,37,1,"< 1 Year",0,36408,152,283,0
"Male",38,1,41,1,"1-2 Year",0,2630,26,290,0
"Female",23,1,49,0,"< 1 Year",1,2630,152,280,0
"Male",61,1,46,0,"1-2 Year",1,41106,26,132,0
"Male",34,1,3,0,"1-2 Year",1,20340,163,152,1
"Female",53,1,6,0,"1-2 Year",1,22850,14,239,1
"Male",60,1,18,0,"1-2 Year",1,29135,124,16,1
"Female",25,1,15,1,"< 1 Year",0,26448,152,39,0
"Male",22,1,28,1,"< 1 Year",0,45213,152,17,0
"Female",31,1,3,0,"1-2 Year",1,26155,157,237,0
"Male",41,1,26,0,"1-2 Year",1,36840,154,89,0
"Female",44,1,28,0,"1-2 Year",1,27356,26,112,0
"Female",25,1,36,1,"< 1 Year",0,23783,152,180,0
"Female",77,1,38,0,"1-2 Year",1,2630,26,193,0
"Female",26,1,36,1,"< 1 Year",0,29311,152,180,0
"Female",22,1,46,1,"< 1 Year",0,24306,152,187,0
"Male",37,1,13,0,"1-2 Year",1,22801,124,279,1
"Male",38,1,28,1,"1-2 Year",0,28117,124,153,0
"Male",39,1,1,0,"1-2 Year",1,2630,124,123,0
"Female",48,1,28,0,"1-2 Year",1,2630,26,115,0
"Male",45,1,28,0,"1-2 Year",1,39114,26,75,0
"Male",48,1,41,0,"1-2 Year",1,32087,26,35,1
"Female",25,1,11,1,"< 1 Year",0,34931,152,127,0
"Female",59,1,48,0,"1-2 Year",1,2630,15,98,0
"Female",34,1,46,1,"1-2 Year",0,33845,152,14,0
"Male",43,1,28,1,"1-2 Year",1,31555,124,217,0
"Male",29,1,46,0,"< 1 Year",1,46518,124,72,1
"Male",21,1,16,0,"< 1 Year",1,2630,160,152,1
"Male",60,1,46,0,"1-2 Year",1,22505,26,289,0
"Female",24,1,15,0,"< 1 Year",0,37970,152,32,0
"Male",31,1,47,0,"< 1 Year",1,34020,152,293,0
