Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Damage,Annual_Premium,Vintage,VAge1,VAge2,VAge3,VPolicy0,VPolicy1,VPolicy2,VPolicy3,Response
0,30,1,28,0,1,26891,270,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,28,1,28,1,0,45434,146,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,32,1,47,0,0,2630,195,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,54,1,28,0,0,41420,121,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,45,1,36,0,1,32764,185,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0,52,1,39,0,1,61716,71,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,72,1,8,0,1,2630,244,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,24,1,32,0,1,33793,36,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,20,1,13,0,1,24059,152,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,65,1,46,0,1,29727,204,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,61,1,28,0,1,41647,196,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1,25,1,21,1,0,19270,257,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,54,1,29,0,1,2630,258,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0,25,1,10,1,0,27318,106,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,24,1,28,0,1,20461,41,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1,54,1,39,1,0,53231,144,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,54,1,35,0,1,37308,241,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
1,24,1,41,1,0,50738,129,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,72,1,28,0,1,37039,174,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,22,1,32,1,0,26353,270,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,68,1,17,0,0,32427,215,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,24,1,29,1,0,46349,248,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,46,1,28,0,1,41647,226,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0,31,1,3,0,1,2630,189,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,38,1,28,0,1,34588,214,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,25,1,32,0,1,32668,218,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,40,1,46,0,1,2630,178,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,42,1,28,0,1,26642,209,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,36,1,14,0,1,27732,105,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,20,1,39,0,1,32300,195,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,38,1,8,0,1,2630,78,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1,38,1,3,0,1,22176,244,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
